query_id,user_id,benchmark_tier,query_type,query_language,query_text,target_event_id,target_venue_id,target_name,target_trail_id,target_timestamp,target_category,target_city,cue_year,cue_month,cue_city,cue_category,cue_previous_event_id,cue_previous_place,cue_next_event_id,cue_next_place,is_high_memory_load
tokyo_100312_relational_between,100312,stress_test,relational_between,dataset_native_mixed,Which Chinese Restaurant did I visit between 東村山税務署 and ジャパンミート卸売市場 東村山店?,2018_1767907__event_002,1789,バーミヤン,2018_1767907,2018-03-14 02:10:00,Chinese Restaurant,Higashimurayama,,,,Chinese Restaurant,2018_1767907__event_001,東村山税務署,2018_1767907__event_003,ジャパンミート卸売市場 東村山店,True
tokyo_101467_relational_between,101467,stress_test,relational_between,dataset_native_mixed,Which Train Station did I visit between セブンイレブン 八王子京王片倉店 and ローソン 八王子打越町店?,2018_1784994__event_003,45,片倉駅 (Katakura Sta.),2018_1784994,2017-11-14 17:57:00,Train Station,Hachiōji,,,,Train Station,2018_1784994__event_002,セブンイレブン 八王子京王片倉店,2018_1784994__event_004,ローソン 八王子打越町店,False
tokyo_106628_relational_between,106628,stress_test,relational_between,dataset_native_mixed,Which Steakhouse did I visit between GU and 株式会社エコリターン?,2018_1860411__event_003,1306,びっくりドンキー,2018_1860411,2018-04-28 12:10:00,Steakhouse,Fussa,,,,Steakhouse,2018_1860411__event_002,GU,2018_1860411__event_004,株式会社エコリターン,True
tokyo_109617_relational_between,109617,stress_test,relational_between,dataset_native_mixed,Which Bus Station did I visit between はま寿司 and セブンイレブン 相模原津久井三ケ木店?,2018_1909174__event_002,2287,宮ヶ瀬 バス停,2018_1909174,2018-05-12 12:17:00,Bus Station,Hachiōji,,,,Bus Station,2018_1909174__event_001,はま寿司,2018_1909174__event_003,セブンイレブン 相模原津久井三ケ木店,True
tokyo_109621_relational_between,109621,stress_test,relational_between,dataset_native_mixed,Which Convenience Store did I visit between 了法寺 and トヨタS&D西東京 八王子店?,2018_1909372__event_002,2536,セブンイレブン 八王子千人町店,2018_1909372,2017-11-19 01:51:00,Convenience Store,Hachiōji,,,,Convenience Store,2018_1909372__event_001,了法寺,2018_1909372__event_003,トヨタS&D西東京 八王子店,True
tokyo_113499_relational_between,113499,stress_test,relational_between,dataset_native_mixed,Which Event Space did I visit between スーパーアルプス 中野店 and 横山町公園 野外ステージ?,2018_1959234__event_002,2157,八王子エルシィ,2018_1959234,2017-11-25 03:34:00,Event Space,Hachiōji,,,,Event Space,2018_1959234__event_001,スーパーアルプス 中野店,2018_1959234__event_003,横山町公園 野外ステージ,False
tokyo_113897_relational_between,113897,stress_test,relational_between,dataset_native_mixed,Which Lounge did I visit between 花みずき and 南京亭?,2018_1963913__event_002,4312,サンライズ,2018_1963913,2018-04-07 17:22:00,Lounge,Hachiōji,,,,Lounge,2018_1963913__event_001,花みずき,2018_1963913__event_003,南京亭,False
tokyo_115855_relational_between,115855,stress_test,relational_between,dataset_native_mixed,Which Chinese Restaurant did I visit between 左入橋交差点 and 道の駅 八王子滝山?,2018_1984790__event_002,473,南京亭,2018_1984790,2017-12-31 13:24:00,Chinese Restaurant,Hachiōji,,,,Chinese Restaurant,2018_1984790__event_001,左入橋交差点,2018_1984790__event_003,道の駅 八王子滝山,False
tokyo_1172_relational_between,1172,stress_test,relational_between,dataset_native_mixed,Which Motorcycle Shop did I visit between ファミリーマート 町田多摩境店 and アリオ橋本?,2018_23932__event_002,374,ライコランド 多摩境店,2018_23932,2018-05-24 10:54:00,Motorcycle Shop,Hachiōji,,,,Motorcycle Shop,2018_23932__event_001,ファミリーマート 町田多摩境店,2018_23932__event_003,アリオ橋本,True
tokyo_119597_relational_between,119597,stress_test,relational_between,dataset_native_mixed,Which Train Station did I visit between 京王八王子駅 (Keiō-hachiōji Sta.) and 小川流?,2018_2023481__event_003,2,八王子駅 (Hachiōji Sta.),2018_2023481,2017-12-17 11:05:00,Train Station,Hachiōji,,,,Train Station,2018_2023481__event_002,京王八王子駅 (Keiō-hachiōji Sta.),2018_2023481__event_004,小川流,False
tokyo_121554_relational_between,121554,stress_test,relational_between,dataset_native_mixed,Which Japanese Restaurant did I visit between 浄牧院 and ドトールコーヒーショップ?,2018_2047606__event_004,2286,鮮の庄,2018_2047606,2018-04-09 04:31:00,Japanese Restaurant,Higashimurayama,,,,Japanese Restaurant,2018_2047606__event_003,浄牧院,2018_2047606__event_005,ドトールコーヒーショップ,False
tokyo_126183_relational_between,126183,stress_test,relational_between,dataset_native_mixed,Which Ramen Restaurant did I visit between 八王子駅 (Hachiōji Sta.) and アニソンDJバー グリュック?,2018_2118390__event_002,3582,家系ラーメン まるに家,2018_2118390,2018-03-16 10:57:00,Ramen Restaurant,Hachiōji,,,,Ramen Restaurant,2018_2118390__event_001,八王子駅 (Hachiōji Sta.),2018_2118390__event_003,アニソンDJバー グリュック,True
tokyo_127201_relational_between,127201,stress_test,relational_between,dataset_native_mixed,Which Sporting Goods Shop did I visit between アリオ橋本 and ビュッフェパンチュール ( Buffet Peinture )?,2018_2134912__event_002,1383,スーパースポーツゼビオ,2018_2134912,2017-10-15 08:00:00,Sporting Goods Shop,Hachiōji,,,,Sporting Goods Shop,2018_2134912__event_001,アリオ橋本,2018_2134912__event_003,ビュッフェパンチュール ( Buffet Peinture ),False
tokyo_130084_relational_between,130084,stress_test,relational_between,dataset_native_mixed,Which Chinese Restaurant did I visit between イーアス高尾 and アニソンDJバー グリュック?,2018_2179338__event_002,1771,日高屋,2018_2179338,2018-05-19 10:42:00,Chinese Restaurant,Hachiōji,,,,Chinese Restaurant,2018_2179338__event_001,イーアス高尾,2018_2179338__event_003,アニソンDJバー グリュック,True
tokyo_130568_relational_between,130568,stress_test,relational_between,dataset_native_mixed,Which Rest Area did I visit between オートバックス 多摩境店 and アクロスモール八王子みなみ野?,2018_2187165__event_004,80,道の駅 八王子滝山,2018_2187165,2017-10-15 11:11:00,Rest Area,Hachiōji,,,,Rest Area,2018_2187165__event_003,オートバックス 多摩境店,2018_2187165__event_005,アクロスモール八王子みなみ野,False
tokyo_130777_relational_between,130777,stress_test,relational_between,dataset_native_mixed,Which Train Station did I visit between 町田あいす工房ラッテ and けいの家 八王子みなみ野店?,2018_2190768__event_004,25,八王子みなみ野駅 (Hachiōjiminamino Sta.),2018_2190768,2018-09-22 08:11:00,Train Station,Hachiōji,,,,Train Station,2018_2190768__event_003,町田あいす工房ラッテ,2018_2190768__event_005,けいの家 八王子みなみ野店,False
tokyo_130872_relational_between,130872,stress_test,relational_between,dataset_native_mixed,Which Farmers Market did I visit between 橋本駅 (Hashimoto Sta.) and ファミリーマート 津久井宮が瀬店?,2018_2192442__event_002,358,鳥居原ふれあいの館,2018_2192442,2017-12-02 05:23:00,Farmers Market,Hachiōji,,,,Farmers Market,2018_2192442__event_001,橋本駅 (Hashimoto Sta.),2018_2192442__event_003,ファミリーマート 津久井宮が瀬店,False
