query_id,user_id,benchmark_tier,query_type,seed_rank,seed_event_id,relation,expanded_event_id,is_first_discovery,expansion_rank,is_high_memory_load
tokyo_100159_relational_after,100159,core,relational_after,1,2018_1765837__event_001,SELF,2018_1765837__event_001,True,1,True
tokyo_100159_relational_after,100159,core,relational_after,1,2018_1765837__event_001,NEXT,2018_1765837__event_002,True,2,True
tokyo_100159_relational_after,100159,core,relational_after,2,2018_1765805__event_001,SELF,2018_1765805__event_001,True,3,True
tokyo_100159_relational_after,100159,core,relational_after,2,2018_1765805__event_001,NEXT,2018_1765805__event_002,True,4,True
tokyo_100159_relational_after,100159,core,relational_after,3,2018_1765800__event_002,SELF,2018_1765800__event_002,True,5,True
tokyo_100159_relational_after,100159,core,relational_after,3,2018_1765800__event_002,PREVIOUS,2018_1765800__event_001,True,6,True
tokyo_100159_relational_after,100159,core,relational_after,4,2018_1765823__event_001,SELF,2018_1765823__event_001,True,7,True
tokyo_100159_relational_after,100159,core,relational_after,4,2018_1765823__event_001,NEXT,2018_1765823__event_002,True,8,True
tokyo_100159_relational_after,100159,core,relational_after,5,2018_1765825__event_002,SELF,2018_1765825__event_002,True,9,True
tokyo_100159_relational_after,100159,core,relational_after,5,2018_1765825__event_002,PREVIOUS,2018_1765825__event_001,True,10,True
tokyo_100159_semantic,100159,core,semantic,1,2018_1765805__event_002,SELF,2018_1765805__event_002,True,1,True
tokyo_100159_semantic,100159,core,semantic,1,2018_1765805__event_002,PREVIOUS,2018_1765805__event_001,True,2,True
tokyo_100159_semantic,100159,core,semantic,2,2018_1765837__event_002,SELF,2018_1765837__event_002,True,3,True
tokyo_100159_semantic,100159,core,semantic,2,2018_1765837__event_002,PREVIOUS,2018_1765837__event_001,True,4,True
tokyo_100159_semantic,100159,core,semantic,3,2018_1765827__event_002,SELF,2018_1765827__event_002,True,5,True
tokyo_100159_semantic,100159,core,semantic,3,2018_1765827__event_002,PREVIOUS,2018_1765827__event_001,True,6,True
tokyo_100159_semantic,100159,core,semantic,4,2018_1765827__event_001,SELF,2018_1765827__event_001,False,,True
tokyo_100159_semantic,100159,core,semantic,4,2018_1765827__event_001,NEXT,2018_1765827__event_002,False,,True
tokyo_100159_semantic,100159,core,semantic,5,2018_1765823__event_002,SELF,2018_1765823__event_002,True,7,True
tokyo_100159_semantic,100159,core,semantic,5,2018_1765823__event_002,PREVIOUS,2018_1765823__event_001,True,8,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,1,2018_1765792__event_002,SELF,2018_1765792__event_002,True,1,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,1,2018_1765792__event_002,PREVIOUS,2018_1765792__event_001,True,2,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,2,2018_1765827__event_001,SELF,2018_1765827__event_001,True,3,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,2,2018_1765827__event_001,NEXT,2018_1765827__event_002,True,4,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,3,2018_1765792__event_001,SELF,2018_1765792__event_001,False,,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,3,2018_1765792__event_001,NEXT,2018_1765792__event_002,False,,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,4,2018_1765816__event_001,SELF,2018_1765816__event_001,True,5,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,4,2018_1765816__event_001,NEXT,2018_1765816__event_002,True,6,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,5,2018_1765827__event_002,SELF,2018_1765827__event_002,False,,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,5,2018_1765827__event_002,PREVIOUS,2018_1765827__event_001,False,,True
tokyo_100312_relational_after,100312,core,relational_after,1,2018_1767876__event_001,SELF,2018_1767876__event_001,True,1,True
tokyo_100312_relational_after,100312,core,relational_after,1,2018_1767876__event_001,NEXT,2018_1767876__event_002,True,2,True
tokyo_100312_relational_after,100312,core,relational_after,2,2018_1767921__event_001,SELF,2018_1767921__event_001,True,3,True
tokyo_100312_relational_after,100312,core,relational_after,2,2018_1767921__event_001,NEXT,2018_1767921__event_002,True,4,True
tokyo_100312_relational_after,100312,core,relational_after,3,2018_1767895__event_001,SELF,2018_1767895__event_001,True,5,True
tokyo_100312_relational_after,100312,core,relational_after,3,2018_1767895__event_001,NEXT,2018_1767895__event_002,True,6,True
tokyo_100312_relational_after,100312,core,relational_after,4,2018_1767913__event_001,SELF,2018_1767913__event_001,True,7,True
tokyo_100312_relational_after,100312,core,relational_after,4,2018_1767913__event_001,NEXT,2018_1767913__event_002,True,8,True
tokyo_100312_relational_after,100312,core,relational_after,5,2018_1767905__event_001,SELF,2018_1767905__event_001,True,9,True
tokyo_100312_relational_after,100312,core,relational_after,5,2018_1767905__event_001,NEXT,2018_1767905__event_002,True,10,True
