query_id,user_id,benchmark_tier,query_type,seed_rank,seed_event_id,relation,expanded_event_id,is_first_discovery,expansion_rank,is_high_memory_load
tokyo_100159_relational_after,100159,core,relational_after,1,2018_1765837__event_001,SELF,2018_1765837__event_001,True,1,True
tokyo_100159_relational_after,100159,core,relational_after,1,2018_1765837__event_001,NEXT,2018_1765837__event_002,True,2,True
tokyo_100159_relational_after,100159,core,relational_after,2,2018_1765805__event_001,SELF,2018_1765805__event_001,True,3,True
tokyo_100159_relational_after,100159,core,relational_after,2,2018_1765805__event_001,NEXT,2018_1765805__event_002,True,4,True
tokyo_100159_relational_after,100159,core,relational_after,3,2018_1765800__event_002,SELF,2018_1765800__event_002,True,5,True
tokyo_100159_relational_after,100159,core,relational_after,4,2018_1765823__event_001,SELF,2018_1765823__event_001,True,6,True
tokyo_100159_relational_after,100159,core,relational_after,4,2018_1765823__event_001,NEXT,2018_1765823__event_002,True,7,True
tokyo_100159_relational_after,100159,core,relational_after,5,2018_1765825__event_002,SELF,2018_1765825__event_002,True,8,True
tokyo_100312_relational_after,100312,core,relational_after,1,2018_1767876__event_001,SELF,2018_1767876__event_001,True,1,True
tokyo_100312_relational_after,100312,core,relational_after,1,2018_1767876__event_001,NEXT,2018_1767876__event_002,True,2,True
tokyo_100312_relational_after,100312,core,relational_after,2,2018_1767921__event_001,SELF,2018_1767921__event_001,True,3,True
tokyo_100312_relational_after,100312,core,relational_after,2,2018_1767921__event_001,NEXT,2018_1767921__event_002,True,4,True
tokyo_100312_relational_after,100312,core,relational_after,3,2018_1767895__event_001,SELF,2018_1767895__event_001,True,5,True
tokyo_100312_relational_after,100312,core,relational_after,3,2018_1767895__event_001,NEXT,2018_1767895__event_002,True,6,True
tokyo_100312_relational_after,100312,core,relational_after,4,2018_1767913__event_001,SELF,2018_1767913__event_001,True,7,True
tokyo_100312_relational_after,100312,core,relational_after,4,2018_1767913__event_001,NEXT,2018_1767913__event_002,True,8,True
tokyo_100312_relational_after,100312,core,relational_after,5,2018_1767905__event_001,SELF,2018_1767905__event_001,True,9,True
tokyo_100312_relational_after,100312,core,relational_after,5,2018_1767905__event_001,NEXT,2018_1767905__event_002,True,10,True
tokyo_100677_relational_after,100677,core,relational_after,1,2018_1773206__event_002,SELF,2018_1773206__event_002,True,1,False
tokyo_100677_relational_after,100677,core,relational_after,2,2018_1773210__event_002,SELF,2018_1773210__event_002,True,2,False
tokyo_100677_relational_after,100677,core,relational_after,3,2018_1773210__event_001,SELF,2018_1773210__event_001,True,3,False
tokyo_100677_relational_after,100677,core,relational_after,3,2018_1773210__event_001,NEXT,2018_1773210__event_002,False,,False
tokyo_100677_relational_after,100677,core,relational_after,4,2018_1773205__event_001,SELF,2018_1773205__event_001,True,4,False
tokyo_100677_relational_after,100677,core,relational_after,4,2018_1773205__event_001,NEXT,2018_1773205__event_002,True,5,False
tokyo_100677_relational_after,100677,core,relational_after,5,2018_1773227__event_002,SELF,2018_1773227__event_002,True,6,False
tokyo_101467_relational_after,101467,core,relational_after,1,2018_1784994__event_003,SELF,2018_1784994__event_003,True,1,False
tokyo_101467_relational_after,101467,core,relational_after,1,2018_1784994__event_003,NEXT,2018_1784994__event_004,True,2,False
tokyo_101467_relational_after,101467,core,relational_after,2,2018_1784994__event_002,SELF,2018_1784994__event_002,True,3,False
tokyo_101467_relational_after,101467,core,relational_after,2,2018_1784994__event_002,NEXT,2018_1784994__event_003,False,,False
tokyo_101467_relational_after,101467,core,relational_after,3,2018_1784994__event_004,SELF,2018_1784994__event_004,False,,False
tokyo_101467_relational_after,101467,core,relational_after,3,2018_1784994__event_004,NEXT,2018_1784994__event_005,True,4,False
tokyo_101467_relational_after,101467,core,relational_after,4,2018_1784994__event_001,SELF,2018_1784994__event_001,True,5,False
tokyo_101467_relational_after,101467,core,relational_after,4,2018_1784994__event_001,NEXT,2018_1784994__event_002,False,,False
tokyo_101467_relational_after,101467,core,relational_after,5,2018_1784990__event_001,SELF,2018_1784990__event_001,True,6,False
tokyo_101467_relational_after,101467,core,relational_after,5,2018_1784990__event_001,NEXT,2018_1784990__event_002,True,7,False
tokyo_103621_relational_after,103621,core,relational_after,1,2018_1816122__event_001,SELF,2018_1816122__event_001,True,1,False
tokyo_103621_relational_after,103621,core,relational_after,1,2018_1816122__event_001,NEXT,2018_1816122__event_002,True,2,False
tokyo_103621_relational_after,103621,core,relational_after,2,2018_1816122__event_002,SELF,2018_1816122__event_002,False,,False
tokyo_103621_relational_after,103621,core,relational_after,3,2018_1816137__event_001,SELF,2018_1816137__event_001,True,3,False
tokyo_103621_relational_after,103621,core,relational_after,3,2018_1816137__event_001,NEXT,2018_1816137__event_002,True,4,False
tokyo_103621_relational_after,103621,core,relational_after,4,2018_1816118__event_001,SELF,2018_1816118__event_001,True,5,False
