query_id,user_id,benchmark_tier,query_type,query_language,query_text,target_event_id,target_venue_id,target_name,target_trail_id,target_timestamp,target_category,target_city,cue_year,cue_month,cue_city,cue_category,cue_previous_event_id,cue_previous_place,cue_next_event_id,cue_next_place,is_high_memory_load
tokyo_100159_semantic,100159,core,semantic,dataset_native_mixed,Which Sushi Restaurant did I visit in Fussa?,2018_1765805__event_002,729,スシロー,2018_1765805,2018-04-03 09:26:00,Sushi Restaurant,Fussa,,,Fussa,Sushi Restaurant,,,,,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,dataset_native_mixed,Which Supermarket did I visit in Fussa in November 2017?,2018_1765792__event_002,236,福島屋 本店,2018_1765792,2017-11-25 03:42:00,Supermarket,Fussa,2017,11,Fussa,Supermarket,,,,,True
tokyo_100159_relational_after,100159,core,relational_after,dataset_native_mixed,Which Ramen Restaurant did I visit after 松屋?,2018_1765800__event_002,4092,五ノ神精肉店,2018_1765800,2018-02-21 09:04:00,Ramen Restaurant,Fussa,,,,Ramen Restaurant,2018_1765800__event_001,松屋,,,True
tokyo_100312_semantic,100312,core,semantic,dataset_native_mixed,Which Café did I visit in Fussa?,2018_1767925__event_002,1836,サンマルクカフェ,2018_1767925,2018-05-05 02:15:00,Café,Fussa,,,Fussa,Café,,,,,True
tokyo_100312_temporal_spatial,100312,core,temporal_spatial,dataset_native_mixed,Which Buffet did I visit in Fussa in September 2018?,2018_1767957__event_002,1376,グランブッフェ,2018_1767957,2018-09-02 02:39:00,Buffet,Fussa,2018,09,Fussa,Buffet,,,,,True
tokyo_100312_relational_after,100312,core,relational_after,dataset_native_mixed,Which Clothing Store did I visit after イオンモールむさし村山?,2018_1767876__event_002,906,ユニクロ,2018_1767876,2017-11-25 04:18:00,Clothing Store,Fussa,,,,Clothing Store,2018_1767876__event_001,イオンモールむさし村山,,,True
tokyo_100677_semantic,100677,core,semantic,dataset_native_mixed,Which Chinese Restaurant did I visit in Hachiōji?,2018_1773217__event_002,4364,餃子の王将,2018_1773217,2018-07-01 03:15:00,Chinese Restaurant,Hachiōji,,,Hachiōji,Chinese Restaurant,,,,,False
tokyo_100677_temporal_spatial,100677,core,temporal_spatial,dataset_native_mixed,Which Bar did I visit in Hachiōji in July 2018?,2018_1773220__event_002,1418,D.O.T.,2018_1773220,2018-07-20 15:44:00,Bar,Hachiōji,2018,07,Hachiōji,Bar,,,,,False
tokyo_100677_relational_after,100677,core,relational_after,dataset_native_mixed,Which Sake Bar did I visit after 金太郎 西八王子北口店?,2018_1773210__event_002,2822,NEWZ BAL,2018_1773210,2018-02-21 12:35:00,Sake Bar,Hachiōji,,,,Sake Bar,2018_1773210__event_001,金太郎 西八王子北口店,,,False
tokyo_101467_semantic,101467,core,semantic,dataset_native_mixed,Which BBQ Joint did I visit in Hachiōji?,2018_1784986__event_002,4179,牛匠 炭火 八王子店,2018_1784986,2017-10-13 12:09:00,BBQ Joint,Hachiōji,,,Hachiōji,BBQ Joint,,,,,False
tokyo_101467_temporal_spatial,101467,core,temporal_spatial,dataset_native_mixed,Which Sake Bar did I visit in Hachiōji in February 2018?,2018_1785004__event_001,4203,大衆酒場センベロ 八王子本店,2018_1785004,2018-02-24 10:01:00,Sake Bar,Hachiōji,2018,02,Hachiōji,Sake Bar,,,,,False
tokyo_101467_relational_after,101467,core,relational_after,dataset_native_mixed,Which Convenience Store did I visit after 片倉駅 (Katakura Sta.)?,2018_1784994__event_004,2016,ローソン 八王子打越町店,2018_1784994,2017-11-14 18:19:00,Convenience Store,Hachiōji,,,,Convenience Store,2018_1784994__event_003,片倉駅 (Katakura Sta.),,,False
tokyo_103621_semantic,103621,core,semantic,dataset_native_mixed,Which Sake Bar did I visit in Hachiōji?,2018_1816137__event_002,4436,立呑み晩杯屋 八王子店,2018_1816137,2018-07-29 09:21:00,Sake Bar,Hachiōji,,,Hachiōji,Sake Bar,,,,,False
tokyo_103621_temporal_spatial,103621,core,temporal_spatial,dataset_native_mixed,Which Japanese Curry Restaurant did I visit in Hachiōji in May 2018?,2018_1816124__event_001,2467,ゴーゴーカレー,2018_1816124,2018-05-15 12:27:00,Japanese Curry Restaurant,Hachiōji,2018,05,Hachiōji,Japanese Curry Restaurant,,,,,False
tokyo_103621_relational_after,103621,core,relational_after,dataset_native_mixed,Which Bar did I visit after 中華そば 青葉?,2018_1816122__event_002,3152,アニソンDJバー グリュック,2018_1816122,2018-05-02 12:06:00,Bar,Hachiōji,,,,Bar,2018_1816122__event_001,中華そば 青葉,,,False
tokyo_106628_semantic,106628,core,semantic,dataset_native_mixed,Which Building did I visit in Hachiōji?,2018_1860388__event_002,2359,八王子労政会館,2018_1860388,2018-02-13 23:39:00,Building,Hachiōji,,,Hachiōji,Building,,,,,True
tokyo_106628_temporal_spatial,106628,core,temporal_spatial,dataset_native_mixed,Which Train Station did I visit in Fussa in August 2018?,2018_1860444__event_001,257,東秋留駅 (Higashi-Akiru Sta.),2018_1860444,2018-08-18 09:23:00,Train Station,Fussa,2018,08,Fussa,Train Station,,,,,True
tokyo_106628_relational_after,106628,core,relational_after,dataset_native_mixed,Which Recycling Facility did I visit after ファミリーマート 八王子高尾町店?,2018_1860406__event_003,3876,株式会社エコリターン,2018_1860406,2018-04-11 13:39:00,Recycling Facility,Hachiōji,,,,Recycling Facility,2018_1860406__event_002,ファミリーマート 八王子高尾町店,,,True
