query_id,user_id,benchmark_tier,query_type,method,query_text,target_event_id,target_venue_id,target_name,target_rank,reciprocal_rank,success_at_1,success_at_5,is_high_memory_load
tokyo_100159_relational_after,100159,core,relational_after,flat,Which Ramen Restaurant did I visit after 松屋?,2018_1765800__event_002,4092,五ノ神精肉店,1,1.0000000000,True,True,True
tokyo_100159_relational_after,100159,core,relational_after,vector,Which Ramen Restaurant did I visit after 松屋?,2018_1765800__event_002,4092,五ノ神精肉店,11,0.0909090909,False,False,True
tokyo_100159_relational_after,100159,core,relational_after,graph,Which Ramen Restaurant did I visit after 松屋?,2018_1765800__event_002,4092,五ノ神精肉店,16,0.0625000000,False,False,True
tokyo_100159_semantic,100159,core,semantic,flat,Which Sushi Restaurant did I visit in Fussa?,2018_1765805__event_002,729,スシロー,1,1.0000000000,True,True,True
tokyo_100159_semantic,100159,core,semantic,vector,Which Sushi Restaurant did I visit in Fussa?,2018_1765805__event_002,729,スシロー,1,1.0000000000,True,True,True
tokyo_100159_semantic,100159,core,semantic,graph,Which Sushi Restaurant did I visit in Fussa?,2018_1765805__event_002,729,スシロー,1,1.0000000000,True,True,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,flat,Which Supermarket did I visit in Fussa in November 2017?,2018_1765792__event_002,236,福島屋 本店,1,1.0000000000,True,True,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,vector,Which Supermarket did I visit in Fussa in November 2017?,2018_1765792__event_002,236,福島屋 本店,1,1.0000000000,True,True,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,graph,Which Supermarket did I visit in Fussa in November 2017?,2018_1765792__event_002,236,福島屋 本店,1,1.0000000000,True,True,True
tokyo_100312_relational_after,100312,core,relational_after,flat,Which Clothing Store did I visit after イオンモールむさし村山?,2018_1767876__event_002,906,ユニクロ,1,1.0000000000,True,True,True
tokyo_100312_relational_after,100312,core,relational_after,vector,Which Clothing Store did I visit after イオンモールむさし村山?,2018_1767876__event_002,906,ユニクロ,1,1.0000000000,True,True,True
tokyo_100312_relational_after,100312,core,relational_after,graph,Which Clothing Store did I visit after イオンモールむさし村山?,2018_1767876__event_002,906,ユニクロ,1,1.0000000000,True,True,True
tokyo_100312_semantic,100312,core,semantic,flat,Which Café did I visit in Fussa?,2018_1767925__event_002,1836,サンマルクカフェ,1,1.0000000000,True,True,True
tokyo_100312_semantic,100312,core,semantic,vector,Which Café did I visit in Fussa?,2018_1767925__event_002,1836,サンマルクカフェ,1,1.0000000000,True,True,True
tokyo_100312_semantic,100312,core,semantic,graph,Which Café did I visit in Fussa?,2018_1767925__event_002,1836,サンマルクカフェ,1,1.0000000000,True,True,True
tokyo_100312_temporal_spatial,100312,core,temporal_spatial,flat,Which Buffet did I visit in Fussa in September 2018?,2018_1767957__event_002,1376,グランブッフェ,1,1.0000000000,True,True,True
tokyo_100312_temporal_spatial,100312,core,temporal_spatial,vector,Which Buffet did I visit in Fussa in September 2018?,2018_1767957__event_002,1376,グランブッフェ,1,1.0000000000,True,True,True
tokyo_100312_temporal_spatial,100312,core,temporal_spatial,graph,Which Buffet did I visit in Fussa in September 2018?,2018_1767957__event_002,1376,グランブッフェ,1,1.0000000000,True,True,True
tokyo_100677_relational_after,100677,core,relational_after,flat,Which Sake Bar did I visit after 金太郎 西八王子北口店?,2018_1773210__event_002,2822,NEWZ BAL,1,1.0000000000,True,True,False
tokyo_100677_relational_after,100677,core,relational_after,vector,Which Sake Bar did I visit after 金太郎 西八王子北口店?,2018_1773210__event_002,2822,NEWZ BAL,7,0.1428571429,False,False,False
