query_id,user_id,query_text,target_event_id,is_high_memory_load,dense_target_rank,symmetric_target_rank,next_only_target_rank,dense_reciprocal_rank,symmetric_reciprocal_rank,next_only_reciprocal_rank,symmetric_rr_delta_vs_dense,next_only_rr_delta_vs_dense,next_only_rr_delta_vs_symmetric,symmetric_outcome_vs_dense,next_only_outcome_vs_dense,next_only_outcome_vs_symmetric,symmetric_first_reach_relation,next_only_first_reach_relation,dense_top1_event_id,symmetric_top1_event_id,next_only_top1_event_id,symmetric_top1_identical_to_dense,next_only_top1_identical_to_dense
tokyo_100159_relational_after,100159,Which Ramen Restaurant did I visit after 松屋?,2018_1765800__event_002,True,3,3,3,0.3333333333,0.3333333333,0.3333333333,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_1765837__event_001,2018_1765837__event_001,2018_1765837__event_001,True,True
tokyo_100312_relational_after,100312,Which Clothing Store did I visit after イオンモールむさし村山?,2018_1767876__event_002,True,23,6,6,0.0434782609,0.1666666667,0.1666666667,0.1231884058,0.1231884058,0.0000000000,improved,improved,unchanged,NEXT,NEXT,2018_1767876__event_001,2018_1767876__event_001,2018_1767876__event_001,True,True
tokyo_100677_relational_after,100677,Which Sake Bar did I visit after 金太郎 西八王子北口店?,2018_1773210__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_1773206__event_002,2018_1773206__event_002,2018_1773206__event_002,True,True
tokyo_101467_relational_after,101467,Which Convenience Store did I visit after 片倉駅 (Katakura Sta.)?,2018_1784994__event_004,False,3,3,3,0.3333333333,0.3333333333,0.3333333333,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_1784994__event_003,2018_1784994__event_003,2018_1784994__event_003,True,True
tokyo_103621_relational_after,103621,Which Bar did I visit after 中華そば 青葉?,2018_1816122__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_1816122__event_001,2018_1816122__event_001,2018_1816122__event_001,True,True
tokyo_106628_relational_after,106628,Which Recycling Facility did I visit after ファミリーマート 八王子高尾町店?,2018_1860406__event_003,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_1860406__event_003,2018_1860406__event_003,2018_1860406__event_003,True,True
tokyo_109617_relational_after,109617,Which Supermarket did I visit after ガレージオフ 相模原店?,2018_1909144__event_002,True,3,3,3,0.3333333333,0.3333333333,0.3333333333,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_1909184__event_001,2018_1909184__event_001,2018_1909184__event_001,True,True
tokyo_109621_relational_after,109621,Which Convenience Store did I visit after ファミリーマート 八王子楢原町店?,2018_1909384__event_002,True,4,3,3,0.2500000000,0.3333333333,0.3333333333,0.0833333333,0.0833333333,0.0000000000,improved,improved,unchanged,NEXT,NEXT,2018_1909384__event_001,2018_1909384__event_001,2018_1909384__event_001,True,True
tokyo_113499_relational_after,113499,Which Park did I visit after ゲームプラザセントラル 八王子店?,2018_1959244__event_002,False,3,3,3,0.3333333333,0.3333333333,0.3333333333,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_1959244__event_001,2018_1959244__event_001,2018_1959244__event_001,True,True
tokyo_113897_relational_after,113897,Which Sake Bar did I visit after 松のや・マイカリー食堂?,2018_1963899__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_1963899__event_002,2018_1963899__event_002,2018_1963899__event_002,True,True
tokyo_115855_relational_after,115855,Which Chinese Restaurant did I visit after 道の駅 八王子滝山?,2018_1984790__event_004,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_1984790__event_004,2018_1984790__event_004,2018_1984790__event_004,True,True
tokyo_1172_relational_after,1172,Which Train Station did I visit after カラオケファンタジー 橋本北口店?,2018_23942__event_003,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_23942__event_003,2018_23942__event_003,2018_23942__event_003,True,True
tokyo_119597_relational_after,119597,Which Train Station did I visit after 箱根ヶ崎駅 (Hakonegasaki Sta.)?,2018_2023466__event_003,False,3,3,3,0.3333333333,0.3333333333,0.3333333333,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_2023466__event_002,2018_2023466__event_002,2018_2023466__event_002,True,True
tokyo_121554_relational_after,121554,Which Japanese Restaurant did I visit after 髪工房 西口店?,2018_2047595__event_002,False,3,2,2,0.3333333333,0.5000000000,0.5000000000,0.1666666667,0.1666666667,0.0000000000,improved,improved,unchanged,NEXT,NEXT,2018_2047595__event_001,2018_2047595__event_001,2018_2047595__event_001,True,True
tokyo_126183_relational_after,126183,Which Bar did I visit after 家系ラーメン まるに家?,2018_2118390__event_003,True,3,4,3,0.3333333333,0.2500000000,0.3333333333,-0.0833333333,0.0000000000,0.0833333333,worsened,unchanged,improved,NEXT,NEXT,2018_2118382__event_003,2018_2118382__event_003,2018_2118382__event_003,True,True
tokyo_127201_relational_after,127201,Which Italian Restaurant did I visit after スーパースポーツゼビオ?,2018_2134912__event_003,False,3,4,2,0.3333333333,0.2500000000,0.5000000000,-0.0833333333,0.1666666667,0.2500000000,worsened,improved,improved,NEXT,NEXT,2018_2134912__event_002,2018_2134912__event_002,2018_2134912__event_002,True,True
tokyo_129047_relational_after,129047,Which Train Station did I visit after 拝島駅 (Haijima Sta.)?,2018_2163684__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_2163684__event_001,2018_2163684__event_001,2018_2163684__event_001,True,True
tokyo_130084_relational_after,130084,Which Bar did I visit after New Flame International Shot Bar?,2018_2179339__event_002,True,3,3,3,0.3333333333,0.3333333333,0.3333333333,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_2179339__event_001,2018_2179339__event_001,2018_2179339__event_001,True,True
tokyo_130568_relational_after,130568,Which Convenience Store did I visit after ENEOS フレンドリーセルフ88SS?,2018_2187169__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_2187169__event_001,2018_2187169__event_001,2018_2187169__event_001,True,True
tokyo_130777_relational_after,130777,Which Ice Cream Shop did I visit after 相模原駅 (Sagamihara Sta.)(JH27)?,2018_2190768__event_003,False,3,4,3,0.3333333333,0.2500000000,0.3333333333,-0.0833333333,0.0000000000,0.0833333333,worsened,unchanged,improved,NEXT,NEXT,2018_2190768__event_002,2018_2190768__event_002,2018_2190768__event_002,True,True
tokyo_130872_relational_after,130872,Which Intersection did I visit after 鳥居原ふれあいの館?,2018_2192457__event_003,False,5,8,8,0.2000000000,0.1250000000,0.1250000000,-0.0750000000,-0.0750000000,0.0000000000,worsened,worsened,unchanged,SELF,SELF,2018_2192458__event_001,2018_2192458__event_001,2018_2192458__event_001,True,True
tokyo_131525_relational_after,131525,Which Video Game Store did I visit after 羽村駅 (Hamura Sta.)?,2018_2202067__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_2202067__event_002,2018_2202067__event_002,2018_2202067__event_002,True,True
tokyo_132723_relational_after,132723,Which Arcade did I visit after 一本堂 相模原橋本店?,2018_2219866__event_002,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_2219866__event_002,2018_2219866__event_002,2018_2219866__event_002,True,True
tokyo_134307_relational_after,134307,Which Supermarket did I visit after ドン・キホーテ 多摩瑞穂店?,2018_2242042__event_002,False,4,4,4,0.2500000000,0.2500000000,0.2500000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_2242033__event_003,2018_2242033__event_003,2018_2242033__event_003,True,True
tokyo_135393_relational_after,135393,Which Japanese Curry Restaurant did I visit after 八王子駅 (Hachiōji Sta.)?,2018_2257260__event_002,False,4,4,4,0.2500000000,0.2500000000,0.2500000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_2257268__event_001,2018_2257268__event_001,2018_2257268__event_001,True,True
tokyo_138301_relational_after,138301,Which Fast Food Restaurant did I visit after カインズ 城山店?,2018_2294104__event_003,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_2294104__event_002,2018_2294104__event_002,2018_2294104__event_002,True,True
tokyo_139656_relational_after,139656,Which Rest Area did I visit after ジョイフル?,2018_2308851__event_002,True,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_2308851__event_001,2018_2308851__event_001,2018_2308851__event_001,True,True
tokyo_140734_relational_after,140734,Which Discount Store did I visit after ホテル・ザ・ウエスト?,2018_2320244__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_2320244__event_002,2018_2320244__event_002,2018_2320244__event_002,True,True
tokyo_140775_relational_after,140775,Which Ramen Restaurant did I visit after 八王子駅 (Hachiōji Sta.)?,2018_2320657__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_2320657__event_002,2018_2320657__event_002,2018_2320657__event_002,True,True
tokyo_149225_relational_after,149225,Which Arcade did I visit after 東京工科大学行き　八王子駅バスターミナル?,2018_2402537__event_002,False,4,5,5,0.2500000000,0.2000000000,0.2000000000,-0.0500000000,-0.0500000000,0.0000000000,worsened,worsened,unchanged,SELF,SELF,2018_2402528__event_001,2018_2402528__event_001,2018_2402528__event_001,True,True
tokyo_152722_relational_after,152722,Which Train Station did I visit after 京王八王子ショッピングセンター?,2018_2446506__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_2446506__event_002,2018_2446506__event_002,2018_2446506__event_002,True,True
tokyo_156873_relational_after,156873,Which Racetrack did I visit after 軽自動車検査協会 八王子支所?,2018_2498120__event_002,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_2498120__event_002,2018_2498120__event_002,2018_2498120__event_002,True,True
tokyo_167728_relational_after,167728,Which Fishing Store did I visit after からやま?,2018_2604406__event_002,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_2604406__event_002,2018_2604406__event_002,2018_2604406__event_002,True,True
tokyo_169053_relational_after,169053,Which Motorcycle Shop did I visit after 鳥居原ふれあいの館?,2018_2620302__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_2620268__event_001,2018_2620268__event_001,2018_2620268__event_001,True,True
tokyo_171659_relational_after,171659,Which Chinese Restaurant did I visit after めじろ台駅 (KO50)?,2018_2647177__event_004,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_2647177__event_004,2018_2647177__event_004,2018_2647177__event_004,True,True
tokyo_178798_relational_after,178798,Which Train Station did I visit after クレッソン?,2018_2707923__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_2707923__event_001,2018_2707923__event_001,2018_2707923__event_001,True,True
tokyo_19379_relational_after,19379,Which Mountain did I visit after BOOKOFF 橋本駅南口店?,2018_395480__event_002,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_395480__event_002,2018_395480__event_002,2018_395480__event_002,True,True
tokyo_210254_relational_after,210254,Which Convenience Store did I visit after 伝説のすた丼屋?,2018_2949678__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_2949678__event_001,2018_2949678__event_001,2018_2949678__event_001,True,True
tokyo_223807_relational_after,223807,Which Thrift / Vintage Store did I visit after TAIRAYA 東浅川店?,2018_3045880__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_3045880__event_002,2018_3045880__event_002,2018_3045880__event_002,True,True
tokyo_2309_relational_after,2309,Which Car Wash did I visit after ファミリーマート 昭島田中町店?,2018_50057__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_50057__event_002,2018_50057__event_002,2018_50057__event_002,True,True
tokyo_23925_relational_after,23925,Which Bar did I visit after 餃子の王将?,2018_485898__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_485898__event_001,2018_485898__event_001,2018_485898__event_001,True,True
tokyo_24620_relational_after,24620,Which Bakery did I visit after セブンイレブン 相模原城山川尻東店?,2018_500321__event_002,True,23,6,6,0.0434782609,0.1666666667,0.1666666667,0.1231884058,0.1231884058,0.0000000000,improved,improved,unchanged,NEXT,NEXT,2018_500321__event_001,2018_500321__event_001,2018_500321__event_001,True,True
tokyo_24664_relational_after,24664,Which Spiritual Center did I visit after 金剛院?,2018_501939__event_007,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_501939__event_007,2018_501939__event_007,2018_501939__event_007,True,True
tokyo_24765_relational_after,24765,Which Convenience Store did I visit after 八王子実践中学校・高等学校?,2018_504026__event_003,True,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_504026__event_002,2018_504026__event_002,2018_504026__event_002,True,True
tokyo_254908_relational_after,254908,Which Rest Area did I visit after イオンモール日の出?,2018_3245104__event_003,False,5,7,6,0.2000000000,0.1428571429,0.1666666667,-0.0571428571,-0.0333333333,0.0238095238,worsened,worsened,improved,NEXT,NEXT,2018_3245115__event_003,2018_3245115__event_003,2018_3245115__event_003,True,True
tokyo_259163_relational_after,259163,Which Restaurant did I visit after 株式会社エコリターン?,2018_3271980__event_002,False,13,13,13,0.0769230769,0.0769230769,0.0769230769,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,,,2018_3271945__event_003,2018_3271945__event_003,2018_3271945__event_003,True,True
tokyo_263152_relational_after,263152,Which Restaurant did I visit after ムラウチホビー 八王子店?,2018_3295464__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_3295464__event_001,2018_3295464__event_001,2018_3295464__event_001,True,True
tokyo_264627_relational_after,264627,Which Ramen Restaurant did I visit after ドン・キホーテ?,2018_3303923__event_002,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_3303923__event_002,2018_3303923__event_002,2018_3303923__event_002,True,True
tokyo_267704_relational_after,267704,Which Shopping Plaza did I visit after ケーヨーデイツー 楢原店?,2018_3322363__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_3322363__event_002,2018_3322363__event_002,2018_3322363__event_002,True,True
tokyo_26786_relational_after,26786,Which Government Building did I visit after 東京医科大学 八王子医療センター?,2018_543238__event_002,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_543238__event_002,2018_543238__event_002,2018_543238__event_002,True,True
tokyo_277915_relational_after,277915,Which Arcade did I visit after 牛繁?,2018_3383909__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_3383909__event_002,2018_3383909__event_002,2018_3383909__event_002,True,True
tokyo_280210_relational_after,280210,Which Automotive Shop did I visit after びっくりドンキー?,2018_3396831__event_002,True,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_3396831__event_001,2018_3396831__event_001,2018_3396831__event_001,True,True
tokyo_281448_relational_after,281448,Which Japanese Restaurant did I visit after 八王子駅 (Hachiōji Sta.)?,2018_3403853__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_3403849__event_001,2018_3403849__event_001,2018_3403849__event_001,True,True
tokyo_283450_relational_after,283450,Which Supermarket did I visit after 江川亭 昭島店?,2018_3416086__event_002,True,3,4,4,0.3333333333,0.2500000000,0.2500000000,-0.0833333333,-0.0833333333,0.0000000000,worsened,worsened,unchanged,NEXT,NEXT,2018_3416120__event_001,2018_3416120__event_001,2018_3416120__event_001,True,True
tokyo_286142_relational_after,286142,Which Train Station did I visit after 八王子駅北口東喫煙所?,2018_3433040__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_3433040__event_002,2018_3433040__event_002,2018_3433040__event_002,True,True
tokyo_286382_relational_after,286382,Which Restaurant did I visit after 味ん味ん 八王子片倉店?,2018_3434342__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_3434342__event_001,2018_3434342__event_001,2018_3434342__event_001,True,True
tokyo_28664_relational_after,28664,Which Steakhouse did I visit after 三ヶ木バスターミナル?,2018_580044__event_007,True,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_580044__event_006,2018_580044__event_006,2018_580044__event_006,True,True
tokyo_28697_relational_after,28697,Which Nail Salon did I visit after Tully's Coffee?,2018_580909__event_002,False,3,4,4,0.3333333333,0.2500000000,0.2500000000,-0.0833333333,-0.0833333333,0.0000000000,worsened,worsened,unchanged,NEXT,NEXT,2018_580900__event_001,2018_580900__event_001,2018_580900__event_001,True,True
tokyo_290806_relational_after,290806,Which Karaoke Box did I visit after 東京都立多摩職業能力開発センター 八王子校?,2018_3462039__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_3462039__event_002,2018_3462039__event_002,2018_3462039__event_002,True,True
tokyo_29501_relational_after,29501,Which Farmers Market did I visit after ハイネス二宮?,2018_596177__event_004,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_596177__event_004,2018_596177__event_004,2018_596177__event_004,True,True
tokyo_29757_relational_after,29757,Which Ramen Restaurant did I visit after らしんばん?,2018_601373__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_601373__event_002,2018_601373__event_002,2018_601373__event_002,True,True
tokyo_29764_relational_after,29764,Which Toll Booth did I visit after 万成屋?,2018_601478__event_003,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_601478__event_003,2018_601478__event_003,2018_601478__event_003,True,True
tokyo_31204_relational_after,31204,Which Bar did I visit after 富士そば 八王子店?,2018_631691__event_002,False,2,2,2,0.5000000000,0.5000000000,0.5000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_631691__event_001,2018_631691__event_001,2018_631691__event_001,True,True
tokyo_32545_relational_after,32545,Which Convenience Store did I visit after ケンタッキーフライドチキン?,2018_661962__event_003,True,3,3,3,0.3333333333,0.3333333333,0.3333333333,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,NEXT,NEXT,2018_661962__event_002,2018_661962__event_002,2018_661962__event_002,True,True
tokyo_325605_relational_after,325605,Which Italian Restaurant did I visit after アニメイト?,2018_3674468__event_002,True,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_3674468__event_002,2018_3674468__event_002,2018_3674468__event_002,True,True
tokyo_328941_relational_after,328941,Which Shopping Mall did I visit after 京王 橋本駅 (KO45)?,2018_3694439__event_002,False,1,1,1,1.0000000000,1.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000,unchanged,unchanged,unchanged,SELF,SELF,2018_3694439__event_002,2018_3694439__event_002,2018_3694439__event_002,True,True
