user_id,benchmark_tier,query_type,eligible_target_count,complete_cue_count,unique_event_candidate_count,leakage_safe_candidate_count,status,skip_reason,selected_event_id,selected_venue_id,same_user_target_venue_query_count,target_venue_reused_across_query_types,is_high_memory_load
100159,core,semantic,42,44,3,3,generated,,2018_1765805__event_002,729,1,False,True
100159,core,temporal_spatial,42,44,17,17,generated,,2018_1765792__event_002,236,1,False,True
100159,core,relational_after,42,20,13,13,generated,,2018_1765800__event_002,4092,1,False,True
100159,stress_test,relational_between,42,0,0,0,skipped,no_complete_cue,,,0,False,True
100312,core,semantic,69,70,12,12,generated,,2018_1767925__event_002,1836,1,False,True
100312,core,temporal_spatial,69,70,45,45,generated,,2018_1767957__event_002,1376,1,False,True
100312,core,relational_after,69,36,15,15,generated,,2018_1767876__event_002,906,1,False,True
100312,stress_test,relational_between,69,2,2,2,generated,,2018_1767907__event_002,1789,1,False,True
100677,core,semantic,19,20,8,8,generated,,2018_1773217__event_002,4364,1,False,False
100677,core,temporal_spatial,19,20,14,14,generated,,2018_1773220__event_002,1418,1,False,False
100677,core,relational_after,19,9,7,7,generated,,2018_1773210__event_002,2822,1,False,False
100677,stress_test,relational_between,19,0,0,0,skipped,no_complete_cue,,,0,False,False
101467,core,semantic,40,42,9,9,generated,,2018_1784986__event_002,4179,1,False,False
101467,core,temporal_spatial,40,42,23,23,generated,,2018_1785004__event_001,4203,1,False,False
101467,core,relational_after,40,23,22,22,generated,,2018_1784994__event_004,2016,1,False,False
101467,stress_test,relational_between,40,6,6,6,generated,,2018_1784994__event_003,45,1,False,False
103621,core,semantic,26,26,4,4,generated,,2018_1816137__event_002,4436,1,False,False
103621,core,temporal_spatial,26,26,15,15,generated,,2018_1816124__event_001,2467,1,False,False
103621,core,relational_after,26,13,13,13,generated,,2018_1816122__event_002,3152,1,False,False
103621,stress_test,relational_between,26,0,0,0,skipped,no_complete_cue,,,0,False,False
106628,core,semantic,79,88,21,21,generated,,2018_1860388__event_002,2359,1,False,True
106628,core,temporal_spatial,79,88,67,67,generated,,2018_1860444__event_001,257,1,False,True
106628,core,relational_after,79,47,39,39,generated,,2018_1860406__event_003,3876,1,False,True
106628,stress_test,relational_between,79,8,7,7,generated,,2018_1860411__event_003,1306,1,False,True
109617,core,semantic,68,69,15,15,generated,,2018_1909178__event_001,433,1,False,True
109617,core,temporal_spatial,68,69,49,49,generated,,2018_1909138__event_002,558,1,False,True
109617,core,relational_after,68,39,30,30,generated,,2018_1909144__event_002,2857,1,False,True
109617,stress_test,relational_between,68,9,9,9,generated,,2018_1909174__event_002,2287,1,False,True
