query_id,user_id,benchmark_tier,query_type,query_language,query_text,target_event_id,target_venue_id,target_name,target_trail_id,target_timestamp,target_category,target_city,cue_year,cue_month,cue_city,cue_category,cue_previous_event_id,cue_previous_place,cue_next_event_id,cue_next_place,is_high_memory_load
tokyo_100312_relational_between,100312,stress_test,relational_between,dataset_native_mixed,Which Chinese Restaurant did I visit between 東村山税務署 and ジャパンミート卸売市場 東村山店?,2018_1767907__event_002,1789,バーミヤン,2018_1767907,2018-03-14 02:10:00,Chinese Restaurant,Higashimurayama,,,,Chinese Restaurant,2018_1767907__event_001,東村山税務署,2018_1767907__event_003,ジャパンミート卸売市場 東村山店,True
tokyo_106628_relational_between,106628,stress_test,relational_between,dataset_native_mixed,Which Steakhouse did I visit between GU and 株式会社エコリターン?,2018_1860411__event_003,1306,びっくりドンキー,2018_1860411,2018-04-28 12:10:00,Steakhouse,Fussa,,,,Steakhouse,2018_1860411__event_002,GU,2018_1860411__event_004,株式会社エコリターン,True
tokyo_109617_relational_between,109617,stress_test,relational_between,dataset_native_mixed,Which Bus Station did I visit between はま寿司 and セブンイレブン 相模原津久井三ケ木店?,2018_1909174__event_002,2287,宮ヶ瀬 バス停,2018_1909174,2018-05-12 12:17:00,Bus Station,Hachiōji,,,,Bus Station,2018_1909174__event_001,はま寿司,2018_1909174__event_003,セブンイレブン 相模原津久井三ケ木店,True
tokyo_109621_relational_between,109621,stress_test,relational_between,dataset_native_mixed,Which Convenience Store did I visit between 了法寺 and トヨタS&D西東京 八王子店?,2018_1909372__event_002,2536,セブンイレブン 八王子千人町店,2018_1909372,2017-11-19 01:51:00,Convenience Store,Hachiōji,,,,Convenience Store,2018_1909372__event_001,了法寺,2018_1909372__event_003,トヨタS&D西東京 八王子店,True
tokyo_1172_relational_between,1172,stress_test,relational_between,dataset_native_mixed,Which Motorcycle Shop did I visit between ファミリーマート 町田多摩境店 and アリオ橋本?,2018_23932__event_002,374,ライコランド 多摩境店,2018_23932,2018-05-24 10:54:00,Motorcycle Shop,Hachiōji,,,,Motorcycle Shop,2018_23932__event_001,ファミリーマート 町田多摩境店,2018_23932__event_003,アリオ橋本,True
tokyo_126183_relational_between,126183,stress_test,relational_between,dataset_native_mixed,Which Ramen Restaurant did I visit between 八王子駅 (Hachiōji Sta.) and アニソンDJバー グリュック?,2018_2118390__event_002,3582,家系ラーメン まるに家,2018_2118390,2018-03-16 10:57:00,Ramen Restaurant,Hachiōji,,,,Ramen Restaurant,2018_2118390__event_001,八王子駅 (Hachiōji Sta.),2018_2118390__event_003,アニソンDJバー グリュック,True
tokyo_130084_relational_between,130084,stress_test,relational_between,dataset_native_mixed,Which Chinese Restaurant did I visit between イーアス高尾 and アニソンDJバー グリュック?,2018_2179338__event_002,1771,日高屋,2018_2179338,2018-05-19 10:42:00,Chinese Restaurant,Hachiōji,,,,Chinese Restaurant,2018_2179338__event_001,イーアス高尾,2018_2179338__event_003,アニソンDJバー グリュック,True
tokyo_132723_relational_between,132723,stress_test,relational_between,dataset_native_mixed,Which Bakery did I visit between 相模原北警察署 and 鉄板焼 志野?,2018_2219917__event_002,4231,一本堂 相模原橋本店,2018_2219917,2018-09-12 01:04:00,Bakery,Hachiōji,,,,Bakery,2018_2219917__event_001,相模原北警察署,2018_2219917__event_003,鉄板焼 志野,True
tokyo_139656_relational_between,139656,stress_test,relational_between,dataset_native_mixed,Which Rest Area did I visit between ジョイフル and 南京亭?,2018_2308851__event_002,80,道の駅 八王子滝山,2018_2308851,2017-12-31 10:49:00,Rest Area,Hachiōji,,,,Rest Area,2018_2308851__event_001,ジョイフル,2018_2308851__event_003,南京亭,True
tokyo_156873_relational_between,156873,stress_test,relational_between,dataset_native_mixed,Which Auto Workshop did I visit between ハイネス二宮 and 横浜家系ラーメン おか家?,2018_2498147__event_002,3960,バリーコーポレーション,2018_2498147,2018-04-07 04:06:00,Auto Workshop,Fussa,,,,Auto Workshop,2018_2498147__event_001,ハイネス二宮,2018_2498147__event_003,横浜家系ラーメン おか家,True
