query_id,user_id,query_type,query_text,target_event_id,dense_target_rank,onehop_target_rank,ppr_rrf_target_rank,raw_ppr_target_rank,raw_ppr_target_score,ppr_rrf_rank_gain_vs_dense,ppr_rrf_rank_gain_vs_onehop,ppr_rrf_outcome_vs_dense,ppr_rrf_outcome_vs_onehop,dense_top1_event_id,onehop_top1_event_id,ppr_rrf_top1_event_id,ppr_rrf_top1_identical_to_dense,ppr_rrf_top1_identical_to_onehop,target_is_dense_seed,shortest_any_relation_distance,shortest_any_relation_distance_bucket,shortest_next_only_distance,shortest_next_only_distance_bucket,is_high_memory_load
tokyo_100159_relational_after,100159,relational_after,Which Ramen Restaurant did I visit after 松屋?,2018_1765800__event_002,3,3,4,5,0.1115237366,-1,-1,worsened,worsened,2018_1765837__event_001,2018_1765837__event_001,2018_1765805__event_001,False,False,True,0,0,0,0,True
tokyo_100159_semantic,100159,semantic,Which Sushi Restaurant did I visit in Fussa?,2018_1765805__event_002,1,1,1,3,0.1168628778,0,0,unchanged,unchanged,2018_1765805__event_002,2018_1765805__event_002,2018_1765805__event_002,True,True,True,0,0,0,0,True
tokyo_100159_temporal_spatial,100159,temporal_spatial,Which Supermarket did I visit in Fussa in November 2017?,2018_1765792__event_002,1,1,1,1,0.1465762063,0,0,unchanged,unchanged,2018_1765792__event_002,2018_1765792__event_002,2018_1765792__event_002,True,True,True,0,0,0,0,True
tokyo_100312_relational_after,100312,relational_after,Which Clothing Store did I visit after イオンモールむさし村山?,2018_1767876__event_002,23,6,9,8,0.0258016464,14,-3,improved,worsened,2018_1767876__event_001,2018_1767876__event_001,2018_1767876__event_001,True,True,False,1,1,1,1,True
tokyo_100312_semantic,100312,semantic,Which Café did I visit in Fussa?,2018_1767925__event_002,1,1,1,2,0.1171529736,0,0,unchanged,unchanged,2018_1767925__event_002,2018_1767925__event_002,2018_1767925__event_002,True,True,True,0,0,0,0,True
tokyo_100312_temporal_spatial,100312,temporal_spatial,Which Buffet did I visit in Fussa in September 2018?,2018_1767957__event_002,1,1,1,1,0.1191822294,0,0,unchanged,unchanged,2018_1767957__event_002,2018_1767957__event_002,2018_1767957__event_002,True,True,True,0,0,0,0,True
tokyo_100677_relational_after,100677,relational_after,Which Sake Bar did I visit after 金太郎 西八王子北口店?,2018_1773210__event_002,2,2,1,1,0.1430833942,1,1,improved,improved,2018_1773206__event_002,2018_1773206__event_002,2018_1773210__event_002,False,False,True,0,0,0,0,False
tokyo_100677_semantic,100677,semantic,Which Chinese Restaurant did I visit in Hachiōji?,2018_1773217__event_002,1,1,2,3,0.1169882780,-1,-1,worsened,worsened,2018_1773217__event_002,2018_1773217__event_002,2018_1773220__event_002,False,False,True,0,0,0,0,False
tokyo_100677_temporal_spatial,100677,temporal_spatial,Which Bar did I visit in Hachiōji in July 2018?,2018_1773220__event_002,2,2,1,1,0.1429109335,1,1,improved,improved,2018_1773220__event_001,2018_1773220__event_001,2018_1773220__event_002,False,False,True,0,0,0,0,False
tokyo_101467_relational_after,101467,relational_after,Which Convenience Store did I visit after 片倉駅 (Katakura Sta.)?,2018_1784994__event_004,3,3,3,3,0.1365694562,0,0,unchanged,unchanged,2018_1784994__event_003,2018_1784994__event_003,2018_1784994__event_002,False,False,True,0,0,0,0,False
tokyo_101467_semantic,101467,semantic,Which BBQ Joint did I visit in Hachiōji?,2018_1784986__event_002,1,1,1,1,0.1467178950,0,0,unchanged,unchanged,2018_1784986__event_002,2018_1784986__event_002,2018_1784986__event_002,True,True,True,0,0,0,0,False
tokyo_101467_temporal_spatial,101467,temporal_spatial,Which Sake Bar did I visit in Hachiōji in February 2018?,2018_1785004__event_001,2,2,3,4,0.1163449395,-1,-1,worsened,worsened,2018_1785009__event_001,2018_1785009__event_001,2018_1785009__event_001,True,True,True,0,0,0,0,False
tokyo_103621_relational_after,103621,relational_after,Which Bar did I visit after 中華そば 青葉?,2018_1816122__event_002,2,2,3,4,0.1381798519,-1,-1,worsened,worsened,2018_1816122__event_001,2018_1816122__event_001,2018_1816122__event_001,True,True,True,0,0,0,0,False
tokyo_103621_semantic,103621,semantic,Which Sake Bar did I visit in Hachiōji?,2018_1816137__event_002,1,1,1,1,0.1185506104,0,0,unchanged,unchanged,2018_1816137__event_002,2018_1816137__event_002,2018_1816137__event_002,True,True,True,0,0,0,0,False
tokyo_103621_temporal_spatial,103621,temporal_spatial,Which Japanese Curry Restaurant did I visit in Hachiōji in May 2018?,2018_1816124__event_001,1,1,1,3,0.1180566117,0,0,unchanged,unchanged,2018_1816124__event_001,2018_1816124__event_001,2018_1816124__event_001,True,True,True,0,0,0,0,False
tokyo_106628_relational_after,106628,relational_after,Which Recycling Facility did I visit after ファミリーマート 八王子高尾町店?,2018_1860406__event_003,1,1,3,4,0.1282570408,-2,-2,worsened,worsened,2018_1860406__event_003,2018_1860406__event_003,2018_1860419__event_002,False,False,True,0,0,0,0,True
tokyo_106628_semantic,106628,semantic,Which Building did I visit in Hachiōji?,2018_1860388__event_002,6,8,24,76,0.0000000000,-18,-16,worsened,worsened,2018_1860405__event_002,2018_1860405__event_002,2018_1860405__event_002,True,True,False,14,3+,,unreachable,True
tokyo_106628_temporal_spatial,106628,temporal_spatial,Which Train Station did I visit in Fussa in August 2018?,2018_1860444__event_001,2,2,2,1,0.1161016471,0,0,unchanged,unchanged,2018_1860435__event_002,2018_1860435__event_002,2018_1860435__event_002,True,True,True,0,0,0,0,True
tokyo_109617_relational_after,109617,relational_after,Which Supermarket did I visit after ガレージオフ 相模原店?,2018_1909144__event_002,3,3,3,2,0.1427657390,0,0,unchanged,unchanged,2018_1909184__event_001,2018_1909184__event_001,2018_1909144__event_001,False,False,True,0,0,0,0,True
tokyo_109617_semantic,109617,semantic,Which Used Bookstore did I visit in Hachiōji?,2018_1909178__event_001,1,1,1,3,0.1171421824,0,0,unchanged,unchanged,2018_1909178__event_001,2018_1909178__event_001,2018_1909178__event_001,True,True,True,0,0,0,0,True
tokyo_109617_temporal_spatial,109617,temporal_spatial,Which Furniture / Home Store did I visit in Hachiōji in February 2018?,2018_1909138__event_002,2,2,2,3,0.1156949389,0,0,unchanged,unchanged,2018_1909213__event_001,2018_1909213__event_001,2018_1909181__event_002,False,False,True,0,0,0,0,True
tokyo_109621_relational_after,109621,relational_after,Which Convenience Store did I visit after ファミリーマート 八王子楢原町店?,2018_1909384__event_002,4,3,2,2,0.1409573474,2,1,improved,improved,2018_1909384__event_001,2018_1909384__event_001,2018_1909384__event_001,True,True,True,0,0,0,0,True
tokyo_109621_semantic,109621,semantic,Which Used Bookstore did I visit in Hachiōji?,2018_1909374__event_005,1,1,1,3,0.1138118378,0,0,unchanged,unchanged,2018_1909374__event_005,2018_1909374__event_005,2018_1909374__event_005,True,True,True,0,0,0,0,True
