query_id,user_id,target_event_id,target_reachable_before_category_filter,target_in_category_matched_candidates,uniquely_resolved_target,candidate_status,next_successor_count,category_matched_candidate_count,is_high_memory_load
tokyo_100159_relational_after,100159,2018_1765800__event_002,True,True,True,unique_candidate,1,1,True
tokyo_100312_relational_after,100312,2018_1767876__event_002,True,True,True,unique_candidate,24,1,True
tokyo_100677_relational_after,100677,2018_1773210__event_002,True,True,True,unique_candidate,1,1,False
tokyo_101467_relational_after,101467,2018_1784994__event_004,True,True,True,unique_candidate,1,1,False
tokyo_103621_relational_after,103621,2018_1816122__event_002,True,True,True,unique_candidate,3,1,False
tokyo_106628_relational_after,106628,2018_1860406__event_003,True,True,True,unique_candidate,1,1,True
tokyo_109617_relational_after,109617,2018_1909144__event_002,True,True,True,unique_candidate,3,1,True
tokyo_109621_relational_after,109621,2018_1909384__event_002,True,True,True,unique_candidate,1,1,True
tokyo_113499_relational_after,113499,2018_1959244__event_002,True,True,True,unique_candidate,2,1,False
tokyo_113897_relational_after,113897,2018_1963899__event_002,True,True,True,unique_candidate,1,1,False
tokyo_115855_relational_after,115855,2018_1984790__event_004,True,True,True,unique_candidate,4,1,False
tokyo_1172_relational_after,1172,2018_23942__event_003,True,True,True,unique_candidate,1,1,True
tokyo_119597_relational_after,119597,2018_2023466__event_003,True,True,True,unique_candidate,1,1,False
tokyo_121554_relational_after,121554,2018_2047595__event_002,True,True,True,unique_candidate,2,1,False
tokyo_126183_relational_after,126183,2018_2118390__event_003,True,True,True,unique_candidate,1,1,True
tokyo_127201_relational_after,127201,2018_2134912__event_003,True,True,True,unique_candidate,2,1,False
tokyo_129047_relational_after,129047,2018_2163684__event_002,True,True,True,unique_candidate,1,1,False
tokyo_130084_relational_after,130084,2018_2179339__event_002,True,True,True,unique_candidate,1,1,True
tokyo_130568_relational_after,130568,2018_2187169__event_002,True,True,True,unique_candidate,1,1,False
tokyo_130777_relational_after,130777,2018_2190768__event_003,True,True,True,unique_candidate,2,1,False
tokyo_130872_relational_after,130872,2018_2192457__event_003,True,True,True,unique_candidate,5,1,False
tokyo_131525_relational_after,131525,2018_2202067__event_002,True,True,True,unique_candidate,2,1,False
tokyo_132723_relational_after,132723,2018_2219866__event_002,True,True,True,unique_candidate,3,1,True
tokyo_134307_relational_after,134307,2018_2242042__event_002,True,True,True,unique_candidate,1,1,False
tokyo_135393_relational_after,135393,2018_2257260__event_002,True,True,True,unique_candidate,9,1,False
tokyo_138301_relational_after,138301,2018_2294104__event_003,True,True,True,unique_candidate,5,1,False
tokyo_139656_relational_after,139656,2018_2308851__event_002,True,True,True,unique_candidate,1,1,True
tokyo_140734_relational_after,140734,2018_2320244__event_002,True,True,True,unique_candidate,1,1,False
tokyo_140775_relational_after,140775,2018_2320657__event_002,True,True,True,unique_candidate,2,1,False
tokyo_149225_relational_after,149225,2018_2402537__event_002,True,True,True,unique_candidate,7,1,False
tokyo_152722_relational_after,152722,2018_2446506__event_002,True,True,True,unique_candidate,1,1,False
tokyo_156873_relational_after,156873,2018_2498120__event_002,True,True,True,unique_candidate,1,1,True
tokyo_167728_relational_after,167728,2018_2604406__event_002,True,True,True,unique_candidate,1,1,True
tokyo_169053_relational_after,169053,2018_2620302__event_002,True,True,True,unique_candidate,6,1,False
tokyo_171659_relational_after,171659,2018_2647177__event_004,True,True,True,unique_candidate,1,1,False
tokyo_178798_relational_after,178798,2018_2707923__event_002,True,True,True,unique_candidate,1,1,False
tokyo_19379_relational_after,19379,2018_395480__event_002,True,True,True,unique_candidate,1,1,True
tokyo_210254_relational_after,210254,2018_2949678__event_002,True,True,True,unique_candidate,1,1,False
tokyo_223807_relational_after,223807,2018_3045880__event_002,True,True,True,unique_candidate,1,1,False
tokyo_2309_relational_after,2309,2018_50057__event_002,True,True,True,unique_candidate,1,1,False
tokyo_23925_relational_after,23925,2018_485898__event_002,True,True,True,unique_candidate,1,1,False
tokyo_24620_relational_after,24620,2018_500321__event_002,True,True,True,unique_candidate,22,1,True
tokyo_24664_relational_after,24664,2018_501939__event_007,True,True,True,unique_candidate,1,1,True
tokyo_24765_relational_after,24765,2018_504026__event_003,True,True,True,unique_candidate,1,1,True
tokyo_254908_relational_after,254908,2018_3245104__event_003,True,True,True,unique_candidate,4,1,False
tokyo_259163_relational_after,259163,2018_3271980__event_002,True,True,True,unique_candidate,3,1,False
tokyo_263152_relational_after,263152,2018_3295464__event_002,True,True,True,unique_candidate,1,1,False
tokyo_264627_relational_after,264627,2018_3303923__event_002,True,True,True,unique_candidate,3,1,True
tokyo_267704_relational_after,267704,2018_3322363__event_002,True,True,True,unique_candidate,1,1,False
tokyo_26786_relational_after,26786,2018_543238__event_002,True,True,True,unique_candidate,14,1,True
tokyo_277915_relational_after,277915,2018_3383909__event_002,True,True,True,unique_candidate,1,1,False
tokyo_280210_relational_after,280210,2018_3396831__event_002,True,True,True,unique_candidate,1,1,True
tokyo_281448_relational_after,281448,2018_3403853__event_002,True,True,True,unique_candidate,7,1,False
tokyo_283450_relational_after,283450,2018_3416086__event_002,True,True,True,unique_candidate,2,1,True
tokyo_286142_relational_after,286142,2018_3433040__event_002,True,True,True,unique_candidate,1,1,False
tokyo_286382_relational_after,286382,2018_3434342__event_002,True,True,True,unique_candidate,1,1,False
tokyo_28664_relational_after,28664,2018_580044__event_007,True,True,True,unique_candidate,8,1,True
