row_index,query_id,user_id,benchmark_tier,query_type,is_high_memory_load
0,tokyo_100159_relational_after,100159,core,relational_after,True
1,tokyo_100159_semantic,100159,core,semantic,True
2,tokyo_100159_temporal_spatial,100159,core,temporal_spatial,True
3,tokyo_100312_relational_after,100312,core,relational_after,True
4,tokyo_100312_semantic,100312,core,semantic,True
5,tokyo_100312_temporal_spatial,100312,core,temporal_spatial,True
6,tokyo_100677_relational_after,100677,core,relational_after,False
7,tokyo_100677_semantic,100677,core,semantic,False
8,tokyo_100677_temporal_spatial,100677,core,temporal_spatial,False
9,tokyo_101467_relational_after,101467,core,relational_after,False
10,tokyo_101467_semantic,101467,core,semantic,False
11,tokyo_101467_temporal_spatial,101467,core,temporal_spatial,False
12,tokyo_103621_relational_after,103621,core,relational_after,False
13,tokyo_103621_semantic,103621,core,semantic,False
14,tokyo_103621_temporal_spatial,103621,core,temporal_spatial,False
15,tokyo_106628_relational_after,106628,core,relational_after,True
16,tokyo_106628_semantic,106628,core,semantic,True
17,tokyo_106628_temporal_spatial,106628,core,temporal_spatial,True
18,tokyo_109617_relational_after,109617,core,relational_after,True
19,tokyo_109617_semantic,109617,core,semantic,True
20,tokyo_109617_temporal_spatial,109617,core,temporal_spatial,True
21,tokyo_109621_relational_after,109621,core,relational_after,True
22,tokyo_109621_semantic,109621,core,semantic,True
23,tokyo_109621_temporal_spatial,109621,core,temporal_spatial,True
24,tokyo_113499_relational_after,113499,core,relational_after,False
25,tokyo_113499_semantic,113499,core,semantic,False
26,tokyo_113499_temporal_spatial,113499,core,temporal_spatial,False
27,tokyo_113897_relational_after,113897,core,relational_after,False
28,tokyo_113897_semantic,113897,core,semantic,False
29,tokyo_113897_temporal_spatial,113897,core,temporal_spatial,False
30,tokyo_115855_relational_after,115855,core,relational_after,False
31,tokyo_115855_semantic,115855,core,semantic,False
32,tokyo_115855_temporal_spatial,115855,core,temporal_spatial,False
33,tokyo_1172_relational_after,1172,core,relational_after,True
34,tokyo_1172_semantic,1172,core,semantic,True
35,tokyo_1172_temporal_spatial,1172,core,temporal_spatial,True
36,tokyo_119597_relational_after,119597,core,relational_after,False
37,tokyo_119597_semantic,119597,core,semantic,False
38,tokyo_119597_temporal_spatial,119597,core,temporal_spatial,False
39,tokyo_121554_relational_after,121554,core,relational_after,False
